zip,population,borough,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
10465,43671,BRONX,46.07,2.48,0,8.8,41.25,0.02,0.78,0.61,12.73
11374,43507,QUEENS,17.11,31.32,0,3.79,43.06,0,0.38,4.34,13.69
10475,42818,BRONX,29.02,2.44,0,59.17,6.64,0,0.64,2.1,11.31
10305,42726,STATEN ISLAND,15.97,14.78,0,7.01,60.14,0,0.35,1.76,12.32
10034,42399,MANHATTAN,69.2,2.88,0.04,6.24,19.99,0.03,0.26,1.36,18.21
10455,41951,BRONX,71.7,0.92,0.23,24.5,1.57,0.26,0.4,0.42,38.14
11217,41813,BROOKLYN,16.8,8.37,0.01,19.22,50.87,0.04,0.56,4.13,13.26
11413,41650,QUEENS,5.71,1.21,0.31,88.76,1.55,0.14,0.95,1.38,6.77
11040,41592,QUEENS,14.15,37.85,0.21,1.49,42.62,0.25,1.33,2.1,3.15
11421,41251,QUEENS,59.04,19.64,0.16,2.51,16.08,0,1.03,1.54,10.37
11367,41207,QUEENS,17.03,26.83,0.42,6.35,45.92,0,0.16,3.3,14.53
10304,41112,STATEN ISLAND,23.48,10.94,0.2,26.21,37.92,0.02,0.48,0.76,21.56
11357,39407,QUEENS,15.68,23.12,0,0.45,58.97,0.04,0.22,1.53,5.32
10026,38585,MANHATTAN,21.46,6.24,0.01,48.47,20.68,0,0.32,2.82,23.14
11378,38524,QUEENS,32.98,10.22,0.21,1.28,53.55,0,0.36,1.4,8.72
11418,38405,QUEENS,46.1,23.53,0.63,7.19,14.97,0,3.04,4.54,15.03
10301,38280,STATEN ISLAND,24.71,6.29,0.12,20.5,44.36,0,0.31,3.71,18.67
11379,37991,QUEENS,20.31,11,0.09,0.69,66.62,0,0.29,1,7.53
11231,37874,BROOKLYN,16.63,5.56,0.08,13.59,58.74,0.8,1.18,3.42,14.71
11412,37857,QUEENS,5.93,2.51,0.71,86.27,1,0.24,1.84,1.51,8.18
11106,37690,QUEENS,26.49,21.02,0.11,6.81,41.66,0.02,0.94,2.95,12.63
10454,37212,BRONX,67.82,0.24,0.28,27.28,3.52,0,0.4,0.45,43.12
11433,37021,QUEENS,17.09,9.67,0.05,62.41,2.17,0.03,6.78,1.79,16.36
11105,36983,QUEENS,20.67,11.33,0.03,2.13,63.15,0,0.22,2.47,9.33
11222,36872,BROOKLYN,15.38,4.32,0.17,2.94,73.71,0,0.37,3.12,10.18
11358,36515,QUEENS,16.18,47.51,0.38,0.41,33.37,0,0.42,1.74,9.27
11364,36215,QUEENS,11.51,50.14,0.83,3.01,32.86,0,0,1.64,7.39
10035,36048,MANHATTAN,45.61,3.7,0.16,36.27,11.48,0.07,1.23,1.48,36.77
11103,35995,QUEENS,24.13,13.63,0.04,1.81,57.96,0.11,0.23,2.09,11.51
10010,35906,MANHATTAN,10.6,16.2,0,9.14,60.85,0,0.86,2.35,10.82
10309,34058,STATEN ISLAND,9.68,3.36,0.3,0.47,85.04,0,0.33,0.82,6.63
11422,32761,QUEENS,10.9,2.13,0.38,81.18,3.15,0,0.54,1.72,6.37
11370,31580,QUEENS,38.21,22.66,0.18,13.23,24.52,0,0.13,1.06,11.56
11369,31481,QUEENS,61.01,13.11,0.17,15.74,8.69,0.02,0.2,1.07,15.2
11101,31366,QUEENS,25.22,24.55,0,13.56,33.02,0.16,0.86,2.64,16.85
11417,31321,QUEENS,37.51,29.66,0,6.09,19.37,0.02,3.94,3.41,13.37
10022,31130,MANHATTAN,7.7,12.05,0.25,1.26,76.72,0,0.11,1.91,3.98
10030,31060,BRONX,26.79,2.08,0.02,56.46,10.79,0.33,0.42,3.12,27.58
10030,31060,MANHATTAN,26.79,2.08,0.02,56.46,10.79,0.33,0.42,3.12,27.58
10014,30344,MANHATTAN,6.98,4.69,0,1.32,83.31,0,0.51,3.19,5.79
11423,30104,QUEENS,13.66,28.66,0.28,38.55,9.32,0,6.16,3.36,9.2
11102,29747,QUEENS,27.26,15.86,0.08,8.28,45.47,0,0.56,2.5,16.08
10065,29530,MANHATTAN,7.78,11.38,0,2.25,77.15,0,0.08,1.37,5.88
10308,29512,STATEN ISLAND,8.69,4.99,0.09,1.06,84.64,0,0.03,0.49,4.36
10013,28799,MANHATTAN,6.65,31.37,0.31,3.45,54.02,0,0.75,3.44,10.73
